sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RTP1_11478	RTP1	0	331.57	4.3351	331.57	5.962	54970	22.254	69.368	1	0	0	0	True
TBR1_14585	TBR1	0	198.94	4.3351	198.94	5.2279	19789	22.254	41.253	1	0	0	0	True
IFNW1_16718	IFNW1	0	186.51	4.3351	186.51	5.1353	17393	22.254	38.618	1	0	0	0	True
GH2_53587	GH2	188.34	2814.2	188.34	2814.2	3.8942	3.4476e+06	30109	15.133	1	5.685e-52	1.137e-51	1.9699e-49	True
MRGPRX2_12212	MRGPRX2	3152.6	29323	3152.6	29323	3.217	3.4245e+08	7.6535e+06	9.4599	1	1.7655e-21	3.5309e-21	4.8939e-19	True
KRT2_56181	KRT2	701.32	4314.6	701.32	4314.6	2.6193	6.5278e+06	3.9825e+05	5.7256	1	5.9449e-09	1.189e-08	1.3733e-06	True
RNF17_7254	RNF17	210.01	1309.7	210.01	1309.7	2.635	6.0467e+05	37282	5.6954	1	7.1438e-09	1.4288e-08	1.4145e-06	True
USP5_40055	USP5	17925	99063	17925	99063	2.4663	3.2917e+09	2.3377e+08	5.3068	1	6.3433e-08	1.2687e-07	1.099e-05	True
EFCAB3_5706	EFCAB3	6405.3	32668	6405.3	32668	2.3504	3.4487e+08	3.0869e+07	4.7269	1	1.3017e-06	2.6035e-06	0.00020047	True
CABS1_61117	CABS1	389.68	1925.2	389.68	1925.2	2.3017	1.1789e+06	1.2549e+05	4.3346	0.99999	8.4462e-06	1.6892e-05	0.0011706	True
KRT74_165	KRT74	2721.5	12069	2721.5	12069	2.1485	4.369e+07	5.7311e+06	3.9047	0.99995	5.4084e-05	0.00010817	0.0068146	True
OPALIN_42757	OPALIN	50663	2.1453e+05	50663	2.1453e+05	2.0822	1.3427e+10	1.8054e+09	3.8567	0.99993	6.5037e-05	0.00013007	0.0075118	True
CCT6A_70204	CCT6A	3963.7	0	3963.7	0	-11.953	7.8555e+06	1.2008e+07	3.6295	0.00014201	0.99986	0.00028402	0.015141	False
OGT_8089	OGT	2993.6	0	2993.6	0	-11.548	4.4809e+06	6.9129e+06	3.5556	0.00018855	0.99981	0.0003771	0.018667	False
CSN2_38996	CSN2	26986	1.0672e+05	26986	1.0672e+05	1.9835	3.1787e+09	5.2284e+08	3.4871	0.99972	0.00027716	0.00055432	0.023496	True
KRT38_62434	KRT38	2159.8	2.0723	2159.8	2.0723	-9.458	2.328e+06	3.6373e+06	3.468	0.00026217	0.99974	0.00052435	0.023496	False
EIF4A3_2696	EIF4A3	15177	16.579	15177	16.579	-9.754	1.1492e+08	1.685e+08	3.4381	0.0002929	0.99971	0.0005858	0.023496	False
COX7B2_9840	COX7B2	41580	1.6157e+05	41580	1.6157e+05	1.9581	7.1986e+09	1.2239e+09	3.4298	0.99966	0.00034219	0.00068438	0.024179	True
RPL19_39606	RPL19	18177	20.723	18177	20.723	-9.7087	1.6482e+08	2.4026e+08	3.427	0.00030515	0.99969	0.0006103	0.023496	False
TMPRSS11F_11765	TMPRSS11F	3917.5	15636	3917.5	15636	1.9966	6.8658e+07	1.1734e+07	3.4209	0.99964	0.00035723	0.00071446	0.024179	True
RPS5_28961	RPS5	7638	10.362	7638	10.362	-9.3931	2.909e+07	4.3641e+07	3.377	0.00036636	0.99963	0.00073271	0.024179	False
ACTRT1_33704	ACTRT1	213.86	872.45	213.86	872.45	2.0233	2.1687e+05	38636	3.3505	0.99953	0.00046802	0.00093603	0.028203	True
TAS2R16_11768	TAS2R16	4749.3	18524	4749.3	18524	1.9634	9.4877e+07	1.7138e+07	3.3275	0.9995	0.00050108	0.0010022	0.028937	True
RPS4X_42348	RPS4X	13388	22.796	13388	22.796	-9.1362	8.9317e+07	1.3165e+08	3.3155	0.00045733	0.99954	0.00091467	0.028203	False
PTPN23_67349	PTPN23	2081.8	4.1446	2081.8	4.1446	-8.6612	2.1583e+06	3.3834e+06	3.2664	0.00054455	0.99946	0.0010891	0.03019	False
TCP1_68710	TCP1	982.62	2.0723	982.62	2.0723	-8.3226	4.8074e+05	7.7289e+05	3.2482	0.00058078	0.99942	0.0011616	0.03096	False
NUDC_26769	NUDC	803.92	0	803.92	0	-9.6527	3.2314e+05	5.2086e+05	3.19	0.00071133	0.99929	0.0014227	0.036515	False
KRTAP10-4_30360	KRTAP10-4	66515	2.4344e+05	66515	2.4344e+05	1.8718	1.5651e+10	3.0845e+09	3.1856	0.99918	0.00081649	0.001633	0.037184	True
CSN2_38993	CSN2	12895	48036	12895	48036	1.8972	6.1746e+08	1.2228e+08	3.1779	0.99916	0.00084462	0.0016892	0.037184	True
CST8_13433	CST8	56844	2.0793e+05	56844	2.0793e+05	1.871	1.1414e+10	2.2642e+09	3.1752	0.99915	0.00084701	0.001694	0.037184	True
CCT6A_70206	CCT6A	732.63	0	732.63	0	-9.5189	2.6837e+05	4.3395e+05	3.1628	0.0007813	0.99922	0.0015626	0.037184	False
SLCO1B1_40932	SLCO1B1	5002.7	18781	5002.7	18781	1.9083	9.4927e+07	1.8983e+07	3.1625	0.99911	0.00089425	0.0017885	0.037559	True
ARL2_15572	ARL2	1983.1	6.217	1983.1	6.217	-8.1029	1.954e+06	3.075e+06	3.1353	0.0008585	0.99914	0.001717	0.037184	False
NCR2_52136	NCR2	6352.8	23624	6352.8	23624	1.8946	1.4915e+08	3.0373e+07	3.1339	0.99901	0.00098508	0.0019702	0.040156	True
HUWE1_61050	HUWE1	553.93	0	553.93	0	-9.1162	1.5342e+05	2.5047e+05	3.0796	0.0010364	0.99896	0.0020729	0.04102	False
TBL3_66082	TBL3	539	0	539	0	-9.0768	1.4526e+05	2.3737e+05	3.0713	0.0010655	0.99893	0.0021309	0.04102	False
CST9L_1697	CST9L	4909.7	17936	4909.7	17936	1.8689	8.4841e+07	1.8295e+07	3.0455	0.99867	0.0013283	0.0026567	0.047207	True
NUF2_34200	NUF2	440.73	0	440.73	0	-8.787	97123	1.5983e+05	3.0101	0.0013059	0.99869	0.0026119	0.047207	False
RAN_24252	RAN	440.25	0	440.25	0	-8.7855	96911	1.5949e+05	3.0097	0.0013074	0.99869	0.0026148	0.047207	False
C12orf40_24460	C12orf40	383.41	0	383.41	0	-8.5865	73503	1.2156e+05	2.967	0.0015036	0.9985	0.0030072	0.0521	False
UBA1_19535	UBA1	344.88	0	344.88	0	-8.4341	59471	98724	2.9339	0.0016737	0.99833	0.0033475	0.05658	False
RNASE8_19331	RNASE8	62663	2.1448e+05	62663	2.1448e+05	1.7751	1.1524e+10	2.7429e+09	2.8987	0.99788	0.0021187	0.0042373	0.06829	True
SPATA16_65514	SPATA16	11319	39407	11319	39407	1.7996	3.9448e+08	9.4619e+07	2.8876	0.99779	0.0022114	0.0044227	0.069462	True
RTP2_43551	RTP2	28267	97196	28267	97196	1.7818	2.3756e+09	5.7276e+08	2.8802	0.99774	0.0022553	0.0045105	0.069462	True
DHX15_39538	DHX15	288.04	0	288.04	0	-8.1751	41484	69315	2.8768	0.0020085	0.99799	0.004017	0.06628	False
NUF2_34199	NUF2	3375.6	31.085	3375.6	31.085	-6.7175	5.5929e+06	8.7549e+06	2.8046	0.0025193	0.99748	0.0050386	0.075908	False
DDX21_21258	DDX21	209.53	0	209.53	0	-7.7179	21951	37115	2.7735	0.002773	0.99723	0.005546	0.081775	False
RPL27A_41496	RPL27A	20572	219.67	20572	219.67	-6.5427	2.0711e+08	3.0652e+08	2.7619	0.002873	0.99713	0.0057461	0.082959	False
RPS4X_42349	RPS4X	20351	227.96	20351	227.96	-6.474	2.0247e+08	3.0008e+08	2.7461	0.0030153	0.99698	0.0060306	0.085289	False
