sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
sgKCNG4_9	KCNG4	0	322.34	0.6129	322.34	7.6473	51952	0.94667	330.66	1	0	0	0	True
sgGPR119_7	GPR119	13.484	790.31	13.484	790.31	5.7717	3.0173e+05	354.15	41.279	1	0	0	0	True
sgPOP5_8	POP5	231.06	6815	231.06	6815	4.8763	2.1674e+07	1.9884e+05	14.765	1	1.7663e-49	3.5326e-49	2.3021e-46	True
sgRNASE9_9	RNASE9	620.86	16811	620.86	16811	4.7567	1.3106e+08	1.8209e+06	11.998	1	2.6978e-33	5.3957e-33	2.6371e-30	True
sgPROP1_10	PROP1	167.93	3693	167.93	3693	4.4507	6.213e+06	97300	11.301	1	9.2194e-30	1.8439e-29	7.2096e-27	True
sgDMRT1_9	DMRT1	180.19	2426.5	180.19	2426.5	3.7439	2.5231e+06	1.1393e+05	6.6552	1	2.0108e-11	4.0215e-11	1.3103e-08	True
sgHTR3C_6	HTR3C	64.354	746.13	64.354	746.13	3.515	2.3241e+05	11380	6.3909	1	1.1345e-10	2.2691e-10	6.3372e-08	True
sgIQCF1_7	IQCF1	1244.8	17894	1244.8	17894	3.8444	1.386e+08	8.6562e+06	5.6588	1	1.1477e-08	2.2954e-08	5.6095e-06	True
sgWDR77_6	WDR77	42.29	407.42	42.29	407.42	3.238	66662	4458	5.4687	1	3.077e-08	6.154e-08	1.3368e-05	True
sgPGLYRP2_9	PGLYRP2	324.84	3776.4	324.84	3776.4	3.5352	5.9568e+06	4.2649e+05	5.2853	1	9.0865e-08	1.8173e-07	3.5528e-05	True
sgKCNG4_3	KCNG4	12.258	99.811	12.258	99.811	2.9267	3832.8	287.39	5.1645	1	1.575e-07	3.1501e-07	5.5985e-05	True
sgTKTL2_7	TKTL2	395.93	4396.6	395.93	4396.6	3.4698	8.0026e+06	6.645e+05	4.9078	1	6.7099e-07	1.342e-06	0.00021353	True
sgF13B_10	F13B	510.54	5811.9	510.54	5811.9	3.5063	1.4052e+07	1.1746e+06	4.8915	1	7.3456e-07	1.4691e-06	0.00021353	True
sgCDX2_7	CDX2	1488.1	19061	1488.1	19061	3.6781	1.544e+08	1.2915e+07	4.8897	1	7.6455e-07	1.5291e-06	0.00021353	True
sgRNASE9_4	RNASE9	129.93	1259.9	129.93	1259.9	3.2675	6.3842e+05	54786	4.8276	1	9.723e-07	1.9446e-06	0.00025345	True
sgTGM6_1	TGM6	956.12	11485	956.12	11485	3.585	5.5426e+07	4.7921e+06	4.8096	1	1.1304e-06	2.2607e-06	0.00025998	True
sgTHOC2_5	THOC2	58.225	515.42	58.225	515.42	3.1243	1.0451e+05	9100.4	4.7926	1	1.129e-06	2.2581e-06	0.00025998	True
sgMMD2_5	MMD2	540.57	6026.3	540.57	6026.3	3.4763	1.5046e+07	1.3351e+06	4.7476	1	1.5137e-06	3.0275e-06	0.00032882	True
sgCTCFL_8	CTCFL	385.51	3637.4	385.51	3637.4	3.2347	5.2873e+06	6.2595e+05	4.1102	0.99997	2.8776e-05	5.7551e-05	0.0059217	True
sgMC3R_1	MC3R	898.51	8699.9	898.51	8699.9	3.274	3.0431e+07	4.169e+06	3.8208	0.9999	9.9259e-05	0.00019852	0.019405	True
sgEIF4A3_6	EIF4A3	1003.3	9771.6	1003.3	9771.6	3.2825	3.8442e+07	5.3385e+06	3.795	0.99989	0.00011054	0.00022107	0.020581	True
