sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SERPINB12_87316	SERPINB12	0	181.38	1.6609	181.38	6.0989	16449	4.3603	86.065	1	0	0	0	True
TBPL2_97496	TBPL2	262.42	13299	262.42	13299	5.6579	8.4971e+07	54536	55.822	1	0	0	0	True
ASZ1_6976	ASZ1	224.22	7413.5	224.22	7413.5	5.0409	2.5843e+07	40114	35.895	1	2.0997e-282	4.1993e-282	1.8211e-279	True
BPIFA1_9609	BPIFA1	0	67.714	1.6609	67.714	4.6906	2292.6	4.3603	31.633	1	8.3682e-220	1.6736e-219	5.4435e-217	True
MC5R_56870	MC5R	305.61	3770.2	305.61	3770.2	3.6206	6.0018e+06	73434	12.785	1	1.1394e-37	2.2788e-37	5.9295e-35	True
UQCRFS1_106582	UQCRFS1	24.914	290.2	24.914	290.2	3.4902	35189	565.89	11.152	1	4.1021e-29	8.2042e-29	1.7789e-26	True
IFIT1B_45086	IFIT1B	146.16	1492.1	146.16	1492.1	3.3429	9.0582e+05	17409	10.201	1	1.131e-24	2.2619e-24	4.2039e-22	True
GPR151_39696	GPR151	92.18	834.34	92.18	834.34	3.1643	2.754e+05	7095.3	8.8107	1	7.2037e-19	1.4407e-18	2.343e-16	True
SULT6B1_95761	SULT6B1	357.93	2998.8	357.93	2998.8	3.0631	3.487e+06	99993	8.3514	1	3.8717e-17	7.7433e-17	1.1193e-14	True
CHRNA6_19091	CHRNA6	335.5	2772.7	335.5	2772.7	3.0431	2.9699e+06	88120	8.21	1	1.2698e-16	2.5395e-16	3.3039e-14	True
KRTAP4-4_51354	KRTAP4-4	19721	1.4969e+05	19721	1.4969e+05	2.9241	8.4458e+09	2.5484e+08	8.1414	1	2.1912e-16	4.3824e-16	5.1832e-14	True
KRTAP10-5_51045	KRTAP10-5	41783	2.7418e+05	41783	2.7418e+05	2.7141	2.7004e+10	1.1078e+09	6.9824	1	1.6207e-12	3.2414e-12	3.5143e-10	True
