sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ENSG00000185231_MC2R_DTKP_73548.6	MC2R	56.221	4497.2	56.221	4497.2	6.2966	9.861e+06	1487.6	115.14	1	0	0	0	True
ENSG00000183607_GKN2_UNA2_101967.3	GKN2	0	147.22	0.92166	147.22	6.2692	10836	1.7848	109.5	1	0	0	0	True
ENSG00000170367_CST5_ACOC_192048.3	CST5	33.18	1330.4	33.18	1330.4	5.2837	8.4138e+05	586.18	53.579	1	0	0	0	True
ENSG00000198704_GPX6_DTKP_190927.2	GPX6	800.92	18600	800.92	18600	4.5358	1.5841e+08	1.7311e+05	42.781	1	0	0	0	True
ENSG00000166049_PASD1_UNA2_175280.2	PASD1	0	41.439	0.92166	41.439	4.465	858.58	1.7848	30.327	1	3.303e-202	6.606e-202	2.9542e-199	True
ENSG00000105198_LGALS13_TMMO_158665.10	LGALS13	387.1	6766.5	387.1	6766.5	4.1241	2.0348e+07	46822	29.482	1	2.5713e-191	5.1426e-191	1.9165e-188	True
ENSG00000256394_ASIC5_UNA2_187470.6	ASIC5	11.982	291.16	11.982	291.16	4.4922	38970	100.08	27.906	1	1.2626e-171	2.5253e-171	8.0664e-169	True
ENSG00000185002_RFX6_GEEX_139759.5	RFX6	13.825	225.73	13.825	225.73	3.9349	22452	127.86	18.74	1	1.3156e-78	2.6311e-78	7.354e-76	True
ENSG00000129744_ART1_DTKP_153751.9	ART1	38.71	534.34	38.71	534.34	3.7529	1.2282e+05	768.94	17.874	1	1.031e-71	2.062e-71	5.1229e-69	True
ENSG00000175329_ISX_GEEX_180461.3	ISX	187.1	2161.3	187.1	2161.3	3.5231	1.9488e+06	12702	17.517	1	5.5495e-69	1.1099e-68	2.4817e-66	True
ENSG00000184571_PIWIL3_UNA1_68617.5	PIWIL3	14.747	221.37	14.747	221.37	3.8199	21346	142.86	17.287	1	3.3098e-67	6.6196e-67	1.3456e-64	True
ENSG00000125823_CSTL1_UNA2_90444.10	CSTL1	536.4	5337.9	536.4	5337.9	3.3125	1.1527e+07	84162	16.551	1	8.1545e-62	1.6309e-61	3.0389e-59	True
